"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 11:02:43 GMT 2021","Tue Aug 24 11:02:45 GMT 2021","2119","","ForumTestPOM","","ForumTestPOM","Login_function","Belépés az Index fórumra",""
"passed","Sun Aug 29 04:34:47 GMT 2021","Sun Aug 29 04:34:57 GMT 2021","10147","","ForumTest","","ForumTest","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"passed","Tue Aug 24 12:17:25 GMT 2021","Tue Aug 24 12:17:26 GMT 2021","1915","","ForumTestPOM","","ForumTestPOM","List_information","Fórum keresési találatok kilistázása",""
"passed","Tue Aug 24 11:59:39 GMT 2021","Tue Aug 24 11:59:39 GMT 2021","231","","ForumTestPOM","","ForumTestPOM","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
"passed","Tue Aug 24 12:15:17 GMT 2021","Tue Aug 24 12:15:23 GMT 2021","5776","","ForumTestPOM","","ForumTestPOM","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"passed","Tue Aug 24 12:17:12 GMT 2021","Tue Aug 24 12:17:16 GMT 2021","3640","","ForumTestPOM","","ForumTestPOM","Logging_out","Kijelentkezés az Index fórumról",""
"passed","Sun Aug 29 04:33:11 GMT 2021","Sun Aug 29 04:33:21 GMT 2021","9786","","ForumTest","","ForumTest","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"passed","Tue Aug 24 12:17:36 GMT 2021","Tue Aug 24 12:17:51 GMT 2021","14585","","ForumTestPOM","","ForumTestPOM","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
"passed","Tue Aug 24 12:18:24 GMT 2021","Tue Aug 24 12:18:25 GMT 2021","596","","ForumTestPOM","","ForumTestPOM","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"broken","Sun Aug 29 04:33:57 GMT 2021","Sun Aug 29 04:34:17 GMT 2021","20412","","ForumTest","","ForumTest","remove_information","Profil információk eltávolítása",""
"broken","Sun Aug 29 04:32:43 GMT 2021","Sun Aug 29 04:33:11 GMT 2021","27318","","ForumTest","","ForumTest","modify_profile_informations","Profil információk módosítása",""
"passed","Tue Aug 24 12:18:13 GMT 2021","Tue Aug 24 12:18:16 GMT 2021","3483","","ForumTestPOM","","ForumTestPOM","remove_information","Profil információk eltávolítása",""
"broken","Tue Aug 24 11:02:04 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3","","ForumTestPOM","","ForumTestPOM","Register","Regisztrálás az Index fórumra",""
"passed","Tue Aug 24 12:15:33 GMT 2021","Tue Aug 24 12:15:35 GMT 2021","1956","","ForumTestPOM","","ForumTestPOM","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"passed","Sun Aug 29 04:34:27 GMT 2021","Sun Aug 29 04:34:40 GMT 2021","12455","","ForumTest","","ForumTest","Logging_out","Kijelentkezés az Index fórumról",""
"passed","Sun Aug 29 04:34:40 GMT 2021","Sun Aug 29 04:34:47 GMT 2021","7244","","ForumTest","","ForumTest","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
"skipped","Sun Aug 29 04:33:57 GMT 2021","Sun Aug 29 04:33:57 GMT 2021","0","","ForumTest","","ForumTest","Register","Regisztrálás az Index fórumra",""
"passed","Sun Aug 29 04:33:49 GMT 2021","Sun Aug 29 04:33:57 GMT 2021","7260","","ForumTest","","ForumTest","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"passed","Sun Aug 29 04:34:17 GMT 2021","Sun Aug 29 04:34:27 GMT 2021","10221","","ForumTest","","ForumTest","Login_function","Belépés az Index fórumra",""
"passed","Sun Aug 29 04:33:40 GMT 2021","Sun Aug 29 04:33:49 GMT 2021","9424","","ForumTest","","ForumTest","List_information","Fórum keresési találatok kilistázása",""
"broken","Sun Aug 29 04:34:57 GMT 2021","Sun Aug 29 04:35:13 GMT 2021","15451","","ForumTest","","ForumTest","add_profile_information","Profil információk hozzáadása",""
"passed","Tue Aug 24 12:18:01 GMT 2021","Tue Aug 24 12:18:04 GMT 2021","3340","","ForumTestPOM","","ForumTestPOM","add_profile_information","Profil információk hozzáadása",""
"passed","Tue Aug 24 11:02:00 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3688","","ForumTestPOM","","ForumTestPOM","modify_profile_informations","Profil információk módosítása",""
"passed","Sun Aug 29 04:33:21 GMT 2021","Sun Aug 29 04:33:40 GMT 2021","19341","","ForumTest","","ForumTest","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
