"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 12:18:13 GMT 2021","Tue Aug 24 12:18:16 GMT 2021","3483","","ForumTestPOM","","ForumTestPOM","remove_information","Profil információk eltávolítása",""
"passed","Tue Aug 24 12:15:33 GMT 2021","Tue Aug 24 12:15:35 GMT 2021","1956","","ForumTestPOM","","ForumTestPOM","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"passed","Tue Aug 24 12:18:24 GMT 2021","Tue Aug 24 12:18:25 GMT 2021","596","","ForumTestPOM","","ForumTestPOM","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"broken","Thu Aug 26 07:57:20 GMT 2021","Thu Aug 26 07:57:39 GMT 2021","18828","","ForumTest","","ForumTest","remove_information","Profil információk eltávolítása",""
"passed","Thu Aug 26 07:56:27 GMT 2021","Thu Aug 26 07:56:40 GMT 2021","12867","","ForumTest","","ForumTest","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"broken","Thu Aug 26 08:01:41 GMT 2021","Thu Aug 26 08:02:42 GMT 2021","60570","","ForumTest","","ForumTest","add_profile_information","Profil információk hozzáadása",""
"passed","Tue Aug 24 11:59:39 GMT 2021","Tue Aug 24 11:59:39 GMT 2021","231","","ForumTestPOM","","ForumTestPOM","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
"broken","Tue Aug 24 11:02:04 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3","","ForumTestPOM","","ForumTestPOM","Register","Regisztrálás az Index fórumra",""
"broken","Thu Aug 26 07:59:40 GMT 2021","Thu Aug 26 08:00:41 GMT 2021","60597","","ForumTest","","ForumTest","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
"passed","Tue Aug 24 12:18:01 GMT 2021","Tue Aug 24 12:18:04 GMT 2021","3340","","ForumTestPOM","","ForumTestPOM","add_profile_information","Profil információk hozzáadása",""
"passed","Thu Aug 26 07:56:40 GMT 2021","Thu Aug 26 07:57:02 GMT 2021","21650","","ForumTest","","ForumTest","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
"passed","Thu Aug 26 07:57:11 GMT 2021","Thu Aug 26 07:57:20 GMT 2021","8408","","ForumTest","","ForumTest","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"passed","Tue Aug 24 12:17:12 GMT 2021","Tue Aug 24 12:17:16 GMT 2021","3640","","ForumTestPOM","","ForumTestPOM","Logging_out","Kijelentkezés az Index fórumról",""
"broken","Thu Aug 26 07:57:39 GMT 2021","Thu Aug 26 07:58:39 GMT 2021","60606","","ForumTest","","ForumTest","Login_function","Belépés az Index fórumra",""
"passed","Tue Aug 24 12:15:17 GMT 2021","Tue Aug 24 12:15:23 GMT 2021","5776","","ForumTestPOM","","ForumTestPOM","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"broken","Thu Aug 26 08:00:41 GMT 2021","Thu Aug 26 08:01:41 GMT 2021","60644","","ForumTest","","ForumTest","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"broken","Thu Aug 26 07:58:39 GMT 2021","Thu Aug 26 07:59:40 GMT 2021","60576","","ForumTest","","ForumTest","Logging_out","Kijelentkezés az Index fórumról",""
"passed","Tue Aug 24 12:17:25 GMT 2021","Tue Aug 24 12:17:26 GMT 2021","1915","","ForumTestPOM","","ForumTestPOM","List_information","Fórum keresési találatok kilistázása",""
"passed","Tue Aug 24 12:17:36 GMT 2021","Tue Aug 24 12:17:51 GMT 2021","14585","","ForumTestPOM","","ForumTestPOM","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
"passed","Tue Aug 24 11:02:00 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3688","","ForumTestPOM","","ForumTestPOM","modify_profile_informations","Profil információk módosítása",""
"broken","Thu Aug 26 07:56:04 GMT 2021","Thu Aug 26 07:56:27 GMT 2021","22668","","ForumTest","","ForumTest","modify_profile_informations","Profil információk módosítása",""
"passed","Thu Aug 26 07:57:02 GMT 2021","Thu Aug 26 07:57:11 GMT 2021","9678","","ForumTest","","ForumTest","List_information","Fórum keresési találatok kilistázása",""
"passed","Tue Aug 24 11:02:43 GMT 2021","Tue Aug 24 11:02:45 GMT 2021","2119","","ForumTestPOM","","ForumTestPOM","Login_function","Belépés az Index fórumra",""
"skipped","Thu Aug 26 07:57:20 GMT 2021","Thu Aug 26 07:57:20 GMT 2021","0","","ForumTest","","ForumTest","Register","Regisztrálás az Index fórumra",""
